filename,average_accuracy,average_f1,average_recall
result/evaluation_results_js.csv,0.8234585820462781,0.6186886615013132,0.6362989775132053
result/evaluation_results_php_info.csv,0.9770100462864725,0.6976088581555427,0.770862816957153
result/evaluation_results_go_info.csv,0.9591419978950533,0.7543791096000195,0.7688569548134067
result/evaluation_results_python.csv,0.8400455947552382,0.6733759098677969,0.6900059908461911
result/evaluation_results_java_info.csv,0.9667072360734743,0.7082768824578971,0.7518108299244135
result/evaluation_results_go.csv,0.8331991196788596,0.6755470821931983,0.690345142946733
result/evaluation_results_python_info.csv,0.943461245854711,0.6618122429910208,0.706625405952863
result/evaluation_results_php.csv,0.850665924953957,0.6972843789508801,0.7287762533720028
result/evaluation_results_java.csv,0.9067279410521761,0.7622881118197731,0.7721316507900918
result/evaluation_results_js_info.csv,0.9479663397880149,0.6109627285978018,0.6687254566125043
graph_result/evaluation_results_js.csv,0.8580326905732719,0.7188886969167421,0.7295893510302283
graph_result/evaluation_results_php_info.csv,0.9807279562110565,0.7765684034051585,0.8216435446274157
graph_result/evaluation_results_go_info.csv,0.9485870958676363,0.7759507063218617,0.7961693853109695
graph_result/evaluation_results_python.csv,0.8651476829036812,0.743796754641837,0.753079474749175
graph_result/evaluation_results_java_info.csv,0.9659351538830102,0.7346546362556047,0.7764330219478314
graph_result/evaluation_results_go.csv,0.8636237801970613,0.7625476918142805,0.7709530557092572
graph_result/evaluation_results_python_info.csv,0.955268446640765,0.7155316477512784,0.7530450490071657
graph_result/evaluation_results_php.csv,0.858290836103324,0.7451193918887704,0.7664170571178291
graph_result/evaluation_results_java.csv,0.9137174643331434,0.7839262767796987,0.7884475166351596
graph_result/evaluation_results_js_info.csv,0.9621022227533034,0.6740843128567623,0.7180323227030211
codet5_result/evaluation_results_js.csv,0.8623670401446072,0.6099906564615597,0.641031558899702
codet5_result/evaluation_results_php_info.csv,0.9659016460422798,0.7728187697563699,0.8136929519384508
codet5_result/evaluation_results_go_info.csv,0.9788266408946117,0.8183219383477477,0.8304168894145098
codet5_result/evaluation_results_python.csv,0.8798305907082833,0.6568448500260343,0.7013119202385216
codet5_result/evaluation_results_java_info.csv,0.9801835614402061,0.7500325477310874,0.7780466116536916
codet5_result/evaluation_results_go.csv,0.8789524584933707,0.7228890751444952,0.7580416087808397
codet5_result/evaluation_results_python_info.csv,0.9522416492823625,0.6908350355045852,0.7355953235081509
codet5_result/evaluation_results_php.csv,0.8618415939509529,0.6747785376640658,0.7462198814824851
codet5_result/evaluation_results_java.csv,0.9140510970791027,0.6817211913803698,0.7098478647304299
codet5_result/evaluation_results_js_info.csv,0.9618808599703925,0.6851028187196292,0.724848333333659
gpt4_result/evaluation_results_js.csv,0.5774521754445096,0.36805503999922223,0.45605637469769067
gpt4_result/evaluation_results_php_info.csv,0.4784887383664491,0.17644079196565768,0.17079340589042327
gpt4_result/evaluation_results_go_info.csv,0.5416852082673288,0.25354761244898155,0.2668999226596955
gpt4_result/evaluation_results_python.csv,0.5542869918718312,0.3373571668131866,0.4130613113095995
gpt4_result/evaluation_results_java_info.csv,0.5502096254848423,0.14750697238858965,0.16077616416558554
gpt4_result/evaluation_results_go.csv,0.5528127171434529,0.32546346576621776,0.4008541768544588
gpt4_result/evaluation_results_python_info.csv,0.494003507894598,0.17350156516439783,0.1956099154241293
gpt4_result/evaluation_results_php.csv,0.5525031486984513,0.22164859994059719,0.3291917847577404
gpt4_result/evaluation_results_java.csv,0.6680079505263525,0.3461757795311503,0.4117058496594097
gpt4_result/evaluation_results_js_info.csv,0.5516135029466928,0.24834317827353508,0.2711787020977193
